name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
K2-35 b,k2,NON_HABITABLE,1.32,971.8758583213522,211.0,2.399964,0.031,0.13,4402.71,0.619575,0.701968,0.12994596592094762,K,-1.1914192838017272,1
K2-35 c,k2,NON_HABITABLE,1.93,732.2635363116046,68.0,5.608352,0.055,0.12,4402.71,0.619575,0.701968,0.12994596592094762,K,-1.099658698871515,1
K2-350 b,k2,NON_HABITABLE,1.54,1158.0,432.32983091203744,4.163873,0.05031299749861033,0.0,5789.0,1.04,0.98,1.0943987470893382,G,-1.2436578430043235,3
K2-350 c,k2,NON_HABITABLE,2.74,687.0,53.37507120267811,19.991944,0.1431919356615214,0.0,5789.0,1.04,0.98,1.0943987470893382,G,-1.121293247035328,3
K2-351 b,k2,NON_HABITABLE,2.54,934.0,183.06785279345797,7.806164,0.07752319947840655,0.0,5769.0,1.05,1.02,1.1002096865688789,G,-1.2080794752797432,3
K2-352 b,k2,NON_HABITABLE,1.37,1160.0,428.10442376633887,3.665912,0.0462171576091464,0.0,5791.0,0.95,0.98,0.9144420332407439,G,-1.2433315258529831,3
K2-352 c,k2,NON_HABITABLE,1.92,885.0,145.51766302563556,8.234885,0.07927207651317993,0.0,5791.0,0.95,0.98,0.9144420332407439,G,-1.1956901452816704,3
K2-352 d,k2,NON_HABITABLE,2.23,727.0,66.16938969605636,14.871387,0.11755727914684151,0.0,5791.0,0.95,0.98,0.9144420332407439,G,-1.140510463425076,3
K2-354 b,k2,NON_HABITABLE,1.56,543.0,21.260367267444057,3.793306,0.03592867936651253,0.0,3669.0,0.41,0.43,0.027444370316246438,M,-1.0110330239868643,3
K2-355 b,k2,NON_HABITABLE,2.25,1066.0,214.56084127859953,5.7385647,0.0632,0.0,5790.0,0.92,0.96,0.8570074946686335,G,-1.215851719127222,2
K2-356 b,k2,NON_HABITABLE,2.29,624.0,25.049069153443476,21.0267366,0.1599,0.0,5568.0,0.86,0.9,0.6404548506059342,G,-1.0345645514343087,2
K2-357 b,k2,NON_HABITABLE,3.72,735.0,48.29171949166789,16.3488637,0.145,0.0,5794.0,1.0,0.98,1.0153334023123173,G,-1.1116126484252729,2
K2-358 b,k2,NON_HABITABLE,2.68,888.0,102.08212330991297,11.2510285,0.0863,0.0,5650.0,0.91,0.93,0.7602760089540057,G,-1.1735317154509628,2
K2-36 b,k2,NON_HABITABLE,1.43,1328.0,519.0,1.422614,0.02288,0.093,4916.0,0.718,0.79,0.2712633342801626,K,-1.2493971847152734,0
K2-36 c,k2,NON_HABITABLE,3.2,854.0,89.0,5.340888,0.05528,0.089,4916.0,0.718,0.79,0.2712633342801626,K,-1.1636587017725077,0
K2-365 b,k2,NON_HABITABLE,2.906,649.7733320004272,42.15866116412889,23.448172,0.15024929956908661,0.0,5561.0,1.051,0.823,0.9517255371837369,G,-1.0976761550723355,4
K2-366 b,k2,NON_HABITABLE,2.359,703.6584312934249,57.98115487224621,15.937039,0.11624195979469201,0.0,5601.0,0.94,0.825,0.7834525675734194,G,-1.1289415693558047,4
K2-367 b,k2,NON_HABITABLE,2.413,414.5855754876259,6.98708504489599,20.645099,0.13417092955212553,0.0,4348.0,0.625,0.756,0.12578037542425954,K,-0.7885346193493007,4
K2-368 b,k2,NON_HABITABLE,1.332,735.044658380403,69.03895065963896,5.025598,0.05207684000099433,0.0,4663.0,0.663,0.746,0.18723344533214314,K,-1.1440690197996883,4
K2-368 c,k2,NON_HABITABLE,1.361,591.1728470923503,28.88665084213441,9.660186,0.08050875643511998,0.0,4663.0,0.663,0.746,0.18723344533214314,K,-1.053508115196394,4
K2-368 d,k2,NON_HABITABLE,1.948,462.29380741370863,10.802184285208236,20.201085,0.13165456529529468,0.0,4663.0,0.663,0.746,0.18723344533214314,K,-0.8905992684510086,4
K2-369 b,k2,NON_HABITABLE,1.313,988.9413977005277,226.2150560958899,5.761612,0.05676295145237674,0.0,5682.0,0.881,0.735,0.7288722983783525,G,-1.218307487548846,4
K2-37 b,k2,NON_HABITABLE,1.39,949.0,193.0,4.4434,0.04990873390612065,0.0,5352.0,0.809,0.84,0.48378920393774394,G,-1.2110482669852514,2
K2-37 c,k2,NON_HABITABLE,2.41,839.0,118.0,6.42966,0.06384961520978381,0.0,5352.0,0.809,0.84,0.48378920393774394,G,-1.1834241454746457,2
K2-37 d,k2,NON_HABITABLE,2.31,646.0,41.3,14.09229,0.10773429982208892,0.0,5352.0,0.809,0.84,0.48378920393774394,G,-1.0964658080654908,2
K2-370 b,k2,NON_HABITABLE,3.207,1301.766220024264,679.1587010763377,2.14084,0.032334118342428865,0.0,5377.0,0.971,0.984,0.7100571681138816,G,-1.257057375438543,4
K2-371 b,k2,NON_HABITABLE,13.024,920.1950401424072,169.57383052160517,3.114905,0.04114889941226985,0.0,4925.0,0.736,0.958,0.28712782311762874,K,-1.2041040828320562,4
K2-372 b,k2,NON_HABITABLE,2.945,796.9635484909145,95.40982749848114,9.844077,0.08505195911735386,0.0,5479.0,0.922,0.847,0.6901790210312261,G,-1.1688424748596096,4
K2-373 b,k2,NON_HABITABLE,2.061,1036.1586583966862,272.6115926055567,11.02066,0.10177656116398488,0.0,6138.0,1.486,1.158,2.823838568123429,F,-1.2264688061450482,4
K2-374 b,k2,NON_HABITABLE,1.593,1109.3183962560895,358.1493264571745,4.521953,0.048209171944776856,0.0,5789.0,0.907,0.731,0.8323835381788989,G,-1.2371160636374512,4
K2-374 c,k2,NON_HABITABLE,2.213,721.5168950691568,64.09516919296874,16.43445,0.11395912138485921,0.0,5789.0,0.907,0.731,0.8323835381788989,G,-1.137790734170539,4
K2-375 b,k2,NON_HABITABLE,2.243,920.1651567268092,169.55180389382437,14.453895,0.1205608985321466,0.0,5822.0,1.543,1.119,2.4644236441855822,G,-1.2040972082165156,4
K2-376 b,k2,NON_HABITABLE,1.736,1138.2449234281348,396.9923759185426,5.776475,0.06101131681165671,0.0,5937.0,1.149,0.908,1.4777567895653858,G,-1.2407705895999002,4
K2-377 b,k2,NON_HABITABLE,1.693,486.67714609691023,13.267927474585203,12.832235,0.10044363908686949,0.0,4200.0,0.691,0.821,0.13385912032737654,K,-0.9315663217307208,4
K2-378 b,k2,NON_HABITABLE,2.88,1037.8388763630176,274.3841483391663,2.060438,0.030854140381455605,0.0,4823.0,0.732,0.923,0.2612076669173603,K,-1.2267388710572729,4
K2-379 b,k2,NON_HABITABLE,2.181,626.719405403666,36.48646989512003,8.777247,0.07906846696595754,0.0,4603.0,0.751,0.856,0.22810693228096757,K,-1.081772392000857,4
K2-38 b,k2,NON_HABITABLE,1.655,1310.0,490.0,4.01593,0.0503,0.11,5705.0,1.141,1.054,1.2424776754338145,G,-1.2477491534031149,0
K2-38 c,k2,NON_HABITABLE,2.49,949.0,135.3,10.56103,0.0959,0.086,5705.0,1.141,1.054,1.2424776754338145,G,-1.1913663224177031,0
K2-380 b,k2,NON_HABITABLE,2.729,1017.3510269657113,253.35098058214874,9.401312,0.08697249126093953,0.0,5911.0,1.32,0.993,1.9164010940580496,G,-1.2233539113874514,4
K2-381 b,k2,NON_HABITABLE,1.075,609.7878595398106,32.70049845650086,7.9389334,0.0708878391307232,0.0,4473.0,0.675,0.754,0.16432280837423446,K,-1.0689255570236023,4
K2-381 c,k2,NON_HABITABLE,2.0,482.4062702700825,12.808287123678106,16.034656,0.11326699977266719,0.0,4473.0,0.675,0.754,0.16432280837423446,K,-0.9248369114660768,4
K2-381 d,k2,NON_HABITABLE,1.689,406.4791123199996,6.4564265119267725,26.803023,0.15953383977898541,0.0,4473.0,0.675,0.754,0.16432280837423446,K,-0.7675302019948406,4
