Mission,Model,Class,Precision,Recall,F1-Score,ROC-AUC,Support
K2,Xgboost,Non-Habitable,0.09243697478991597,1.0,0.16923076923076924,0.9775741499879431,11
K2,Xgboost,Habitability Zone,1.0,0.7154255319148937,0.834108527131783,0.9924645390070921,376
K2,Xgboost,Potentially Habitable,0.0,0.0,0.0,0.813953488372093,1
K2,Xgboost,Overall,0.9716928008316729,0.7216494845360825,0.8131091357296104,,388
TESS,Random Forest,Non-Habitable,0.631578947368421,0.4,0.4897959183673469,0.992702890978753,30
TESS,Random Forest,Habitability Zone,0.9824016563146998,0.993717277486911,0.9880270692347736,0.9868782722513089,955
TESS,Random Forest,Potentially Habitable,0.5,0.5,0.5,0.9977157360406091,2
TESS,Random Forest,Overall,0.9707608411363635,0.9746707193515705,0.9718943552889859,,987
