Mission,Model,Accuracy,Weighted F1,Precision,Recall
K2,Random Forest,0.9819587628865979,0.9802610590026161,0.9786627938689794,0.9819587628865979
K2,XGBoost,0.9922680412371134,0.9908021235785189,0.989460262913871,0.9922680412371134
