name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
K05694.01,kepler,HABITABILITY_ZONE,1.26,337.0,3.05,107.904526,0.4253,0.0,5565.0,0.802,0.879,0.5557815448040146,G,-0.5236770861963728,1
K05698.01,kepler,NON_HABITABLE,2.33,363.0,4.12,282.029084,0.8997,0.0,6886.0,1.287,1.227,3.355211314026222,F,-0.6329816484503443,1
K05812.01,kepler,NON_HABITABLE,1.5,1443.0,1025.14,3.1318392,0.0399,0.0,6070.0,1.159,0.863,1.6429197353302618,F,-1.2670400374317654,1
K05815.01,kepler,NON_HABITABLE,3.52,379.0,4.85,207.767894,0.6816,0.0,5210.0,1.849,0.976,2.2694437654602035,G,-0.6863575953322834,1
K05816.01,kepler,NON_HABITABLE,14.04,878.0,140.61,82.508054,0.485,0.0,4986.0,7.733,2.231,33.296595283245324,K,-1.1941008097434058,1
K05817.01,kepler,NON_HABITABLE,1.59,450.0,9.65,113.083522,0.4698,0.0,5903.0,1.4,1.079,2.144084585516369,G,-0.8677437296760225,1
K05819.01,kepler,POTENTIALLY_HABITABLE,1.24,212.0,0.48,381.37504,0.9548,0.0,5513.0,0.729,0.796,0.44228451753497455,G,0.668792714834355,1
K05451.01,kepler,HABITABILITY_ZONE,4.4,319.0,2.43,529.39169,1.3401,0.0,5283.0,2.504,1.144,4.400335621187836,G,-0.4294610551482025,1
K05454.01,kepler,HABITABILITY_ZONE,2.62,182.0,0.26,509.997402,1.1218,0.0,5037.0,0.756,0.724,0.33145616771116315,K,1.3755786350928068,1
K05577.01,kepler,HABITABILITY_ZONE,2.94,305.0,2.03,495.51899,1.2514,0.0,6043.0,1.634,1.062,3.207814097752762,F,-0.3469619982915048,1
K05578.01,kepler,NON_HABITABLE,3.0,376.0,4.71,388.048463,1.1326,0.0,5779.0,2.46,1.29,6.081009787052867,G,-0.6769268607029282,1
K05579.01,kepler,NON_HABITABLE,1.57,455.0,10.15,34.0269868,0.188,0.0,4999.0,0.801,0.764,0.36098760452005163,K,-0.8786845062810259,1
K05580.01,kepler,NON_HABITABLE,2.41,405.0,6.39,173.219879,0.6483,0.0,6007.0,1.518,1.215,2.7031415070464297,F,-0.7664828984082385,1
K05581.01,kepler,HABITABILITY_ZONE,4.27,282.0,1.49,374.878133,1.0525,0.0,5636.0,1.354,1.103,1.666540900934367,G,-0.18626907131027395,1
K05702.01,kepler,HABITABILITY_ZONE,2.56,241.0,0.79,511.882,1.2745,0.0,6141.0,1.007,1.046,1.2993018025316363,F,0.2310868344018698,1
K05704.01,kepler,HABITABILITY_ZONE,1.15,313.0,2.26,96.16705,0.3774,0.0,5147.0,0.716,0.779,0.32414358265661286,K,-0.39633617099888446,1
K05706.01,kepler,HABITABILITY_ZONE,3.2,248.0,0.89,425.483539,1.1546,0.0,5977.0,1.022,1.133,1.200962716959474,G,0.14214525107161077,1
K05707.01,kepler,HABITABILITY_ZONE,2.88,347.0,3.43,208.800733,0.7266,0.0,6208.0,1.168,1.175,1.8255226629485943,F,-0.56875582976262,1
K05822.01,kepler,NON_HABITABLE,1.69,842.0,118.84,17.634272,0.1296,0.0,4885.0,1.979,0.933,2.009299013162634,K,-1.1839322013483011,1
K05825.01,kepler,NON_HABITABLE,2.05,363.0,4.12,208.047137,0.6345,0.0,5991.0,1.2,0.784,1.6713002601141675,G,-0.6335011334663977,1
K05826.01,kepler,NON_HABITABLE,1.53,379.0,4.86,30.561533,0.1661,0.0,4294.0,0.664,0.654,0.1350451617734788,K,-0.6869886965014782,1
K05827.01,kepler,NON_HABITABLE,0.79,1093.0,337.78,6.10968225,0.0596,0.0,6024.0,1.009,0.756,1.207860824159589,F,-1.235201470838362,1
K05455.01,kepler,HABITABILITY_ZONE,2.09,267.0,1.2,292.09809,0.8541,0.0,5955.0,0.883,0.972,0.8833710873617482,G,-0.05748452820130067,1
K05457.01,kepler,HABITABILITY_ZONE,3.54,328.0,2.74,578.21623,1.5655,0.0,5166.0,3.244,1.529,6.752646401660356,K,-0.4796292973932534,1
K05458.01,kepler,NON_HABITABLE,2.19,377.0,4.77,56.648588,0.2703,0.0,5023.0,0.782,0.821,0.35072032028256817,K,-0.6808836000619662,1
K05459.01,kepler,NON_HABITABLE,3.1,769.0,82.79,53.554546,0.3144,0.0,6039.0,2.622,1.442,8.23796995051381,F,-1.1589705523763132,1
K05461.01,kepler,NON_HABITABLE,17.89,795.0,94.61,119.079642,0.6497,0.0,4849.0,8.984,2.573,40.20156252773164,K,-1.168716373052638,1
K05583.01,kepler,NON_HABITABLE,1.31,586.0,27.85,20.5858591,0.1302,0.0,5523.0,0.753,0.695,0.4753186288109762,G,-1.0496609149676563,1
K05585.01,kepler,NON_HABITABLE,3.45,496.0,14.32,113.573945,0.4691,0.0,5155.0,2.233,1.067,3.17239191901354,K,-0.9469502909231945,1
K05588.01,kepler,HABITABILITY_ZONE,2.27,199.0,0.37,542.91133,1.2569,0.0,5583.0,0.824,0.899,0.5943190417546564,G,0.9371299102897467,1
K05712.01,kepler,HABITABILITY_ZONE,3.4,215.0,0.5,287.75613,0.8109,0.0,4965.0,0.781,0.856,0.3339441111334196,K,0.6240578226994336,1
K05715.01,kepler,POTENTIALLY_HABITABLE,1.93,260.0,1.08,189.961729,0.6066,0.0,5335.0,0.742,0.83,0.40182801862753853,G,0.00894679460543869,1
K05839.01,kepler,NON_HABITABLE,2.32,413.0,6.87,169.415073,0.6368,0.0,6362.0,1.378,1.199,2.802643152217385,F,-0.785684867431842,1
K05842.01,kepler,NON_HABITABLE,1.85,524.0,17.82,57.7749373,0.3063,0.0,6277.0,1.097,1.148,1.6831254236384772,F,-0.9845452153770371,1
K05466.01,kepler,NON_HABITABLE,1.75,1122.0,374.3,4.09513876,0.0511,0.0,5858.0,0.963,1.056,0.983885938908178,G,-1.2389406740125062,1
K05468.01,kepler,NON_HABITABLE,1.65,442.0,9.04,81.704814,0.3517,0.0,6099.0,0.95,0.867,1.1250619950348149,F,-0.8529493984766449,1
K05470.01,kepler,HABITABILITY_ZONE,2.44,223.0,0.59,578.21805,1.3722,0.0,6089.0,0.95,1.031,1.1177014571181847,F,0.4789351044702362,1
K05591.01,kepler,HABITABILITY_ZONE,4.03,345.0,3.34,317.009388,0.9541,0.0,5066.0,2.27,1.15,3.057786553395904,K,-0.5579454428092154,1
K05592.01,kepler,HABITABILITY_ZONE,2.3,242.0,0.8,482.51701,1.2182,0.0,6168.0,0.96,1.034,1.2017513995170106,F,0.2216293019814476,1
K05597.01,kepler,NON_HABITABLE,0.73,773.0,84.44,7.77710639,0.0713,0.0,5073.0,0.851,0.8,0.4321288678016162,K,-1.160454377584034,1
K05718.01,kepler,HABITABILITY_ZONE,5.2,296.0,1.8,233.64574,0.744,0.0,5780.0,1.0,1.0,1.0055555421967817,G,-0.2873658646994157,1
K05719.01,kepler,NON_HABITABLE,2.19,678.0,49.97,27.285315,0.184,0.0,6304.0,1.094,1.11,1.7029197103726421,F,-1.1156101425642135,1
K05344.01,kepler,NON_HABITABLE,3.66,370.0,4.43,445.351255,1.2938,0.0,7202.0,1.755,1.454,7.4655433232532085,F,-0.6573197807044276,1
K05472.01,kepler,NON_HABITABLE,5.27,630.0,37.25,97.5137491,0.4608,0.0,5437.0,3.18,1.372,7.961342031701179,G,-1.084858835080554,1
K05473.01,kepler,HABITABILITY_ZONE,2.64,223.0,0.58,549.42772,1.3488,0.0,5957.0,0.971,1.083,1.0696546181145201,G,0.48748711763395297,1
K05474.01,kepler,NON_HABITABLE,8.98,486.0,13.14,284.666844,1.0029,0.0,5248.0,4.413,1.66,13.308768497163012,G,-0.9310517278932898,1
K05475.01,kepler,NON_HABITABLE,2.41,369.0,4.4,224.150923,0.6762,0.0,6072.0,1.286,0.818,2.0253668575200323,F,-0.6550815849416349,1
K05476.01,kepler,NON_HABITABLE,2.52,367.0,4.29,148.179343,0.5425,0.0,5635.0,1.183,0.967,1.2712760964018233,G,-0.646801983954803,1
K05598.01,kepler,HABITABILITY_ZONE,2.13,274.0,1.33,376.934014,0.991,0.0,6074.0,1.034,0.913,1.3110973456767854,F,-0.11710248333159783,1
K05600.01,kepler,NON_HABITABLE,4.81,603.0,31.34,17.168095,0.2602,0.0,5053.0,1.907,0.885,2.13596085544854,K,-1.064564605585192,1
K05602.01,kepler,HABITABILITY_ZONE,2.49,240.0,0.79,403.163148,1.0963,0.0,5812.0,0.963,1.079,0.9533441524448456,G,0.2375574658979661,1
K05603.01,kepler,NON_HABITABLE,6.81,393.0,5.65,341.557931,1.0293,0.0,5138.0,3.098,1.245,6.026066734616627,K,-0.7320451792781714,1
K05604.01,kepler,HABITABILITY_ZONE,2.49,321.0,2.49,476.91977,1.2893,0.0,6282.0,1.725,1.257,4.175078421778663,F,-0.44028637383585995,1
K05605.01,kepler,NON_HABITABLE,7.04,1105.0,351.97,9.011888,0.0876,0.0,5627.0,1.735,1.103,2.7189506758987196,G,-1.2367233643268745,1
K05725.01,kepler,HABITABILITY_ZONE,2.23,186.0,0.28,351.25069,0.8302,0.0,4828.0,0.63,0.616,0.19428749772191026,K,1.2859487110408576,1
K05727.01,kepler,HABITABILITY_ZONE,2.61,337.0,3.05,65.3558881,0.2894,0.0,4703.0,0.764,0.755,0.25726537702313607,K,-0.5235602429316081,1
K05732.01,kepler,NON_HABITABLE,1.52,499.0,14.66,39.399926,0.2172,0.0,5913.0,0.795,0.898,0.6960821284606903,G,-0.9511404999185835,1
K05358.01,kepler,NON_HABITABLE,1.54,460.0,10.54,126.586058,0.5029,0.0,6611.0,1.249,1.057,2.68465334614883,F,-0.8869204901701386,1
