koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,radius_similarity,insol_similarity,temp_similarity,in_hz_conservative,in_hz_optimistic,is_rocky,is_super_earth,is_earth_sized,koi_period_log,koi_sma_log,koi_insol_log,planet_star_radius_ratio,orbit_stellar_radii,target,target_name
0.0050480123491116365,0.00014632288587405215,0.9998536771141259,0.02714134241761007,0.0025434691182016824,0.9974565308817984,0.027140341976519267,0.0025434691182016824,0.9974565308817984,0.0,,,,,,0.44230769230769224,0.0006970069700697007,0.9345632747189391,0.0603127664218846,0.0066567558358915585,0.9933432441641084,,,,0.021894427612073778,0.00752953394781254,0.9924704660521874,0.07184765857269405,5.5798268681310954e-05,0.9998055204211492,0.04290474251194988,0.006431803431153876,0.9941458178651332,0.03706293706293706,0.007641921397379914,0.9928,0.02401158146964856,,,0.9659322725418198,,,0.14927113702623906,,,0.0010537907487710167,0.00020628478957883416,0.9997664555226733,0.013875257741241303,0.04183350566380747,0.9581664943361924,0.0,0.0,0.12622549019607843,0.8751680430190129,0.007583597959083144,0.005507913284565683,0.007710437710437711,0.0,0.09547738693467336,0.0,0.7671,,,0.2257359370445935,0.1242603550295858,0.8450184501845018,0.778631284916201,0.03476245654692932,0.9772727272727273,0.7256637168141593,0.41666666666666663,0.7857142857142857,0.026478466927673604,0.01686909581646424,0.9937285049565041,0.1555939027897613,0.08743169398907104,0.963302752293578,,,,0.5436726323500434,0.08508413729451503,0.6779807588368824,0.696917808219178,0.6738020210800827,0.6432614717571965,0.6912280701754387,0.703321129707113,0.664704376759662,0.6581827437006873,0.0,0.5436503642765,0.09917123753853546,0.0851075907761154,0.11193608851522265,0.5571428571428572,0.10428342674139311,0.5511411665257819,0.10919827845060555,0.6642874723111001,0.00206125211918672,0.6079207920792078,0.0014834816815014838,0.47500000000000003,0.01646740356417776,0.6247030878859858,0.024438704549970196,0.009285051067780874,0.024438704549970196,0.33245614035087717,0.014211594856756148,0.8067278287461773,0.016491158354857937,0.026119402985074622,0.016491158354857937,0.914,0.0,0.2289156626506024,0.0,0.0,1.0,1.0,0.0,0.24166544988345692,0.042627816810198976,0.34816788536797744,0.07204878555748569,0.02950456683087473,1,NON_HABITABLE
0.05256939076341184,0.013804145375797707,0.9861958546242022,0.03187403324005639,0.02282101280095004,0.97717898719905,0.03187439518751489,0.02282101280095004,0.97717898719905,0.0,,,,,,0.2292307692307692,0.0025146918135848027,0.9570481406745459,0.23657645561591595,0.04394950561679665,0.9560504943832033,,,,0.01565049133057632,0.01285213553161106,0.9871478644683889,0.05745871103182981,1.073306564930877e-05,0.9998554387700235,0.018432370165181344,0.0007194224071717898,0.9872930736669544,0.0794871794871795,0.06222707423580786,0.9319999999999999,0.14312100638977635,,,0.9949000407996738,,,0.12857142857142856,,,0.0006533502642380304,0.0003158354396658186,0.9996120547108853,0.05052178532518165,0.07498617506511646,0.9250138249348834,0.0,0.0,0.5544117647058824,0.3906280007681966,0.007257347655740683,0.0014726275795541397,0.002525252525252525,0.33333333333333337,0.007537688442211055,0.16666666666666666,0.62105,,,0.4310696589915477,0.1257396449704142,0.8579335793357934,0.5865921787709497,0.23522595596755505,0.8836898395721925,0.8230088495575222,0.41666666666666663,0.7857142857142857,0.07232639604368432,0.1592442645074224,0.9285858790208376,0.2714984181765891,0.2540983606557377,0.9036697247706422,,,,0.40484220624928113,0.19376947396602962,0.7487839152524051,0.7003424657534247,0.745517765945887,0.7540647958569195,0.8346828609986505,0.8853294979079499,0.8817507038648579,0.87604988546704,0.049,0.4048307595775089,0.3393922408615927,0.1937953598028228,0.36306891594329493,0.5916666666666668,0.34947958366693355,0.588334742180896,0.3594234811330197,0.6581343834604971,0.004866506482576931,0.6092409240924092,0.0034003400340034007,0.46590909090909094,0.02323482968644259,0.5950118764845607,0.060202662427975354,0.0519962859795729,0.060202662427975354,0.3394736842105263,0.030002255808707426,0.7675840978593271,0.080071527915756,0.02835820895522388,0.07411086826942181,0.732,0.0,0.3714859437751004,0.0,0.0,0.0,0.0,0.0,0.562603823227554,0.22885796550624174,0.30405114194601846,0.05745823743881577,0.06933398322989216,1,NON_HABITABLE
0.0030126859333179097,0.00014002753051075355,0.9998599724694892,0.10482032122817742,0.003813702492405737,0.9961862975075944,0.10482059195783222,0.003813702492405737,0.9961862975075944,0.0,,,,,,0.40846153846153843,0.00035533688670220037,0.9385990198904582,0.11471122441835085,0.008165417077028173,0.9918345829229718,,,,0.002336056021983859,0.0004760050196892986,0.9995239949803106,0.018587619983739246,1.4780183397328383e-05,0.99995772810341,0.005612628862145759,0.0005351871818248083,0.9932568250774988,0.02540792540792541,0.02510917030567686,0.9816,0.020666932907348244,,,0.9149326805385558,,,0.3725947521865889,,,0.02441685854439884,0.013714886956850775,0.988002314952217,0.004541048012653707,0.01955056393505881,0.9804494360649411,0.0,0.0,0.6257352941176471,0.2861532552333397,0.005506667552708101,0.005175218417183762,0.007845117845117844,0.0,0.1541038525963149,0.0,0.6364,,,0.4814922763042845,0.17899408284023668,0.7767527675276753,0.6361731843575419,0.16570104287369639,0.8435828877005347,0.7876106194690267,0.41666666666666663,0.7857142857142857,0.06264166494951577,0.15384615384615385,0.9538741654865466,0.2907679033649698,0.2786885245901639,0.9048165137614679,,,,0.7814495197581497,0.8882494974393049,0.40752351097178663,0.3600926672038678,0.3987830055416711,0.3852824280380587,0.4322537112010798,0.49110878661087864,0.5066547222933196,0.5041995418681597,0.067,0.7814030745633893,0.16323017175801738,0.88824035543007,0.14287274116940543,0.4845238095238096,0.13931144915932747,0.5976331360946746,0.13922530277249526,0.6680531626876691,0.00019514812962714506,0.5940099009900989,0.0014001400140014003,0.47954545454545455,0.03225806451612903,0.6342042755344419,0.046294456586528906,0.015784586815227486,0.04033379694019472,0.35789473684210527,0.036769681930972256,0.8110091743119265,0.05225511623286311,0.02761194029850746,0.050268229684085036,0.964,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.18329650868747463,0.0368080790733567,0.6457484149690235,0.01860744258113066,0.010863843525682995,1,NON_HABITABLE
0.005386415188221846,0.0009094533154587079,0.9990905466845412,0.034841908437891866,0.013536761593131318,0.9864632384068688,0.034841437992326973,0.013536761593131318,0.9864632384068688,0.0,,,,,,0.21846153846153843,0.0023916905835725025,0.9590660132603055,0.07768089917257344,0.030727530694475754,0.9692724693055242,,,,0.0012872698497010825,0.002077112813189666,0.9979228871868103,0.011816350552744305,5.195624135971125e-06,0.9999343559285037,0.03647829607540825,0.0012879566905269935,0.9637354964759485,0.015384615384615385,0.016375545851528384,0.996,0.03244808306709265,,,0.9828641370869033,,,0.29037900874635564,,,0.00997860804779995,0.005142777453804871,0.997504147976042,0.013680169756560211,0.01955056393505881,0.9804494360649411,0.0,0.0,0.6563725490196077,0.2504321106203188,0.002884298351222227,0.0010582364087410086,0.0009932659932659934,0.0,0.09003350083752093,0.0,0.5784,,,0.5115126785193822,0.16568047337278105,0.7472324723247232,0.6902932960893852,0.03476245654692932,0.8489304812834224,0.9115044247787611,0.2777777777777778,0.7142857142857142,0.05548114568308263,0.1288798920377868,0.9862431721626542,0.33764739718147835,0.16393442622950818,0.8967889908256881,,,,0.6835014706593245,0.6366707250841603,0.4855691276618742,0.43906124093472987,0.47843094643051176,0.46910755148741434,0.5244264507422403,0.5870815899581588,0.599436908113642,0.598880122168491,0.011,0.6834984487747047,0.3393922408615927,0.6366740597939802,0.34487088497024626,0.7273809523809525,0.3144515612489992,0.5925612848689772,0.3344009608647783,0.664878168840758,0.0003171157106441108,0.5937953795379537,0.0002333566690002334,0.48863636363636365,0.08188585607940446,0.653206650831354,0.044307570037750835,0.04549675023212628,0.060202662427975354,0.3771929824561403,0.07511842995713965,0.819571865443425,0.044307570037750835,0.043283582089552235,0.062189548976753425,0.993,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.24949275698793646,0.05714467269403603,0.5604953561998458,0.011904934211783711,0.01976667924314017,1,NON_HABITABLE
0.005229706060808081,0.0015515403391172613,0.9984484596608827,0.028216917151398624,0.024229817088703632,0.9757701829112965,0.028216747591613967,0.024229817088703632,0.9757701829112965,0.0,,,,,,0.07461538461538461,0.005015716823834905,0.9860190256558085,0.07170893035860644,0.05751050553712578,0.9424894944628742,,,,0.006444479373871944,0.017092907525206633,0.9829070924747934,0.032715667358355474,2.0577406117464585e-05,0.9998198034169254,0.049100489019684744,0.003709132760932339,0.9238189886298555,0.022377622377622378,0.0043668122270742364,0.9936,0.02650758785942492,,,0.9946960424316604,,,0.1947521865889213,,,0.0025098661158853694,0.00040951802901596963,0.9993661440358181,0.014903221352830126,0.045094423965575565,0.9549055760344243,0.0,0.0,0.2727941176470588,0.7146149414250046,0.0006490051547843045,0.0010600780896215197,0.0002693602693602693,0.16666666666666666,0.09422110552763818,0.0,0.9334,,,0.3188574759545323,0.11538461538461538,0.8560885608856088,0.7353351955307262,0.07879490150637312,0.9732620320855615,0.8230088495575222,0.41666666666666663,0.7857142857142857,0.03539048011539254,0.018893387314439947,0.9886708476633623,0.19557089444923786,0.14207650273224043,0.9678899082568807,,,,0.4291294663607612,0.8447244629072221,0.7085720462652684,0.6904713940370668,0.6996631533195697,0.6951704203300013,0.7673414304993256,0.7782426778242676,0.7581264397235729,0.750827182489183,0.047,0.42910795830864146,0.4194659086359451,0.8447257681470837,0.34487088497024626,0.5285714285714286,0.3644915932746197,0.6365173288250211,0.3494144730257231,0.6689638198375584,0.00206125211918672,0.5864686468646864,0.0014001400140014003,0.47424242424242424,0.01646740356417776,0.6454869358669835,0.044307570037750835,0.02785515320334262,0.04232068348897279,0.35789473684210527,0.011955786149334536,0.8103975535168195,0.044307570037750835,0.02686567164179104,0.04232068348897279,0.977,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.24591888592864844,0.04694684976505947,0.429549710486418,0.03273383408912851,0.024973166364553514,1,NON_HABITABLE
0.011090242957370544,0.00022069044829656998,0.9997793095517034,0.042108086013885215,0.0017004960607753551,0.9982995039392247,0.04210770876852621,0.0017004960607753551,0.9982995039392247,0.0,,,,,,0.5984615384615384,0.00036900369003690036,0.9198616315941193,0.09345101544062834,0.011216642059102227,0.9887833579408978,,,,0.04962628523731836,0.009563373577394087,0.9904366264226059,0.12130644241387258,4.9057629999643146e-05,0.9994902846052822,0.017138389527837063,0.0074246870920918135,0.9909286151595953,0.11258741258741259,0.08296943231441048,0.9504,0.048172923322683706,,,0.9622603019175848,,,0.20583090379008745,,,0.003017002913731421,0.0014693213932279387,0.9988301576937536,0.017131726408610284,0.05868158355627597,0.9413184164437238,0.0,0.0,0.5730392156862745,0.35125792202803907,0.027129076479200535,0.010967409010227455,0.014175084175084174,0.16666666666666666,0.03391959798994975,0.16666666666666666,0.6536500000000001,,,0.45453220635383274,0.15532544378698224,0.7859778597785978,0.6777234636871509,0.13325608342989573,0.8462566844919786,0.7256637168141593,0.41666666666666663,0.7857142857142857,0.04960848959406552,0.10931174089068826,0.9732955694922112,0.2476272648835203,0.21311475409836064,0.9357798165137614,,,,0.6612807564878196,0.11418555305694245,0.6996000432385686,0.6461522965350524,0.6937955014669129,0.7037215464290016,0.7815114709851552,0.8190376569037657,0.8281289992321473,0.8144566047340291,0.0,0.661257154808796,0.07514913720622973,0.11420574033664721,0.0700806172772106,0.5904761904761905,0.07926341072858287,0.5426880811496196,0.0691622460214193,0.6404134875707604,0.0037687982534242398,0.6138613861386137,0.0024002400240024,0.47151515151515155,0.005639521768554026,0.6194180522565321,0.003973773097556126,0.014020427112349118,0.0031790184780449045,0.3513157894736842,0.007218587863749156,0.789051987767584,0.0031790184780449045,0.0007462686567164178,0.006556725610967613,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422716964445221,0.08360142238498809,0.4469375715992478,0.12135795748532344,0.032966786730522925,1,NON_HABITABLE
0.013276810130601821,0.0031608763550433727,0.9968391236449565,0.03279191982100277,0.020534592727382745,0.9794654072726173,0.032790938582365925,0.020534592727382745,0.9794654072726173,0.0,,,,,,0.019999999999999997,0.0057810578105781055,0.9962525223407321,0.21400653209830275,0.04157633063073905,0.9584236693692609,,,,0.007544756340142764,0.008438270803583019,0.9915617291964169,0.03746040991663328,1.0131467065143694e-05,0.9999031930286285,0.006987495441659119,5.8883170269887327e-05,0.9942447777618637,0.03193473193473194,0.05349344978165939,0.9832,0.0549620607028754,,,0.9985720114239087,,,0.18338192419825072,,,0.002059897466160145,0.0020994664974887263,0.9990873746067549,0.014119868060495283,0.00471882052585025,0.9952811794741496,0.0,0.0,0.6318627450980392,0.2588822738621087,0.00170962354850845,0.0008193198492411843,0.0016329966329966328,0.0,0.038107202680067,0.0,0.9585,,,0.47449723112795106,0.24704142011834318,0.6531365313653137,0.715782122905028,0.07763615295480882,0.7299465240641712,0.6814159292035399,0.8333333333333333,0.5714285714285714,0.043684318977951775,0.19365721997300944,0.9751163261177422,0.25510497555363826,0.36065573770491804,0.8635321100917431,,,,0.6064619766702499,0.08148152381835505,0.7497567830504809,0.6997381144238517,0.744974464848419,0.7559918101890886,0.8371120107962213,0.8716004184100418,0.86946506270796,0.867014507508272,0.161,0.6064203297660953,0.599631661128238,0.0814824989399634,0.5814452876198795,0.4404761904761905,0.6497197758206565,0.44209636517328826,0.5495946351716545,0.6753630322421855,0.003890765834441205,0.5986798679867985,0.002316898356502317,0.5060606060606061,0.11797879539815022,0.5492874109263659,0.0979535068547586,0.1309192200557103,0.11186171269620504,0.40350877192982454,0.10895556056846381,0.7039755351681957,0.09596662030598054,0.11343283582089551,0.10987482614742698,0.936,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3666742614129935,0.09479115457845844,0.41092250125687474,0.03745056533691929,0.04242245438907611,1,NON_HABITABLE
0.0394927635707965,0.0015044722616346549,0.9984955277383653,0.04391654404089451,0.0034672752085319037,0.9965327247914681,0.043917349099501735,0.0034672752085319037,0.9965327247914681,0.0,,,,,,0.10923076923076921,0.0025830258302583027,0.9795330066301526,0.23772142618852476,0.008945174572447099,0.9910548254275529,,,,0.04626312337736247,0.009390280842961616,0.9906097191570383,0.10567973594476197,7.287546485454236e-06,0.9999492160150182,0.015906628846007458,0.00013928423375702303,0.9950146894168336,0.11538461538461539,0.0851528384279476,0.9176,0.11461661341853034,,,0.9969400244798041,,,0.14169096209912535,,,0.0008891359442755453,0.00044155930550380634,0.9995127718090263,0.03958185141498816,0.013028727331522617,0.9869712726684773,0.0,0.0,0.6399509803921568,0.2410217015555982,0.024288262310506542,0.008132902924734817,0.012255892255892256,0.5,0.012144053601340033,0.16666666666666666,0.9238999999999999,,,0.4855727193238124,0.17751479289940827,0.7785977859778598,0.6319832402234636,0.19466975666280417,0.8502673796791443,0.6283185840707965,0.41666666666666663,0.7857142857142857,0.05867504636307438,0.1261808367071525,0.9494234270685818,0.2479148691400633,0.2076502732240437,0.9220183486238532,,,,0.6422007645197407,0.5956748216690597,0.7580802075451302,0.6903706688154714,0.7541019232858849,0.7741780079489344,0.8692307692307695,0.915794979079498,0.9229587919119527,0.9121913973021127,0.029,0.6421710879492455,0.09516755414981783,0.5956681783630975,0.09191825444486905,0.5440476190476191,0.08927141713370697,0.536770921386306,0.08918026223601241,0.6598572483386659,0.003890765834441205,0.6072607260726072,0.002816948361502817,0.47121212121212125,0.009699977441912927,0.6258907363420428,0.006556725610967613,0.0037140204271123496,0.006556725610967613,0.34912280701754383,0.011955786149334536,0.7859327217125381,0.006556725610967613,0.004477611940298507,0.008543612159745678,0.5780000000000001,0.0,0.2811244979919679,0.0,0.0,0.0,0.0,0.0,0.5209580570413711,0.18762629551651144,0.3324103084660802,0.10565769968303448,0.06750808626879796,1,NON_HABITABLE
0.03568600386328347,0.003460935348994988,0.996539064651005,0.09226122079875293,0.00937963418664532,0.9906203658133548,0.09226181594840455,0.00937963418664532,0.9906203658133548,0.0,,,,,,0.7007692307692307,0.0003416700833675004,0.904439319688671,0.2210081507077813,0.0336092431775457,0.9663907568224542,,,,0.026580089864985716,0.011121208187286338,0.9888787918127137,0.09634193697137378,4.151030230739036e-05,0.9991998636911675,0.0018773899389748622,0.00349429180614023,0.9983674360844368,0.08741258741258741,0.06768558951965066,0.9712,0.10962460063897764,,,0.9573643410852712,,,0.1227405247813411,,,0.0005701007950851201,0.0002664003273702992,0.9998353529100843,0.01773199713070595,0.06737736569432423,0.9326226343056756,0.0,0.0,0.5433823529411765,0.4017668523141924,0.00897098117662289,0.0037611865101197938,0.005690235690235692,0.33333333333333337,0.01423785594639866,0.16666666666666666,0.7934,,,0.44768289128533956,0.11538461538461538,0.8560885608856088,0.6965782122905028,0.0764774044032445,0.8355614973262032,0.8230088495575222,0.41666666666666663,0.7857142857142857,0.048166082835359565,0.1086369770580297,0.9809832085777868,0.2674719585849871,0.16939890710382513,0.9288990825688074,,,,0.4766702488035808,0.255917333895205,0.7741865744243862,0.7180701047542304,0.7709442573073996,0.7853787787546673,0.8784075573549257,0.9182792887029289,0.9129767084719734,0.9040468312547723,0.0,0.4766524906752174,0.17524122192417024,0.2559341036236087,0.15015195355862493,0.5642857142857144,0.17934347477982385,0.5629754860524091,0.1492343108797918,0.6421363524489293,0.004256668577492103,0.617161716171617,0.0024835816915024836,0.5053030303030304,0.018723212271599364,0.6258907363420428,0.02642559109874826,0.04363974001857011,0.016491158354857937,0.3736842105263158,0.014211594856756148,0.8079510703363914,0.028412477647526326,0.03059701492537313,0.016491158354857937,0.6980000000000001,0.0,0.4116465863453816,0.0,0.0,0.0,0.0,0.0,0.5062824398396161,0.1802096763958926,0.29161595199063545,0.096348250832048,0.07750206520659797,1,NON_HABITABLE
0.0032601322980249747,0.00010711909967083135,0.9998928809003291,0.02359331634872064,0.00265894487949296,0.9973410551205071,0.023593532186168886,0.00265894487949296,0.9973410551205071,0.0,,,,,,0.7169230769230769,0.00013666803334700016,0.9064571922744306,0.044567361748921966,0.006080413339277571,0.9939195866607224,,,,0.01217350771548897,0.00532260158379852,0.9946773984162014,0.0656012231970585,9.160705713422773e-07,0.9993409623767135,0.007186988174028049,0.020707085481727235,0.9982474403501388,0.046153846153846156,0.02510917030567686,0.9904,0.020017971246006388,,,0.8690330477356181,,,0.2574344023323615,,,0.0065263895548261,0.0023548812443489105,0.9984747178386996,0.0052988897992994844,0.02226799585319889,0.977732004146801,0.0,0.0,0.4874999999999999,0.4661033224505473,0.019488037461883274,0.015471523897248344,0.005774410774410776,0.16666666666666666,0.14530988274706869,0.0,0.9822500000000001,,,0.39259691052171386,0.15828402366863906,0.8025830258302583,0.7447625698324022,0.03823870220162225,0.8890374331550802,0.7433628318584071,0.41666666666666663,0.7857142857142857,0.036729857819905204,0.056680161943319846,0.9908962168723447,0.22490652861662355,0.1174863387978142,0.9323394495412844,,,,0.5662294042621241,0.3632141305110772,0.38644470868014247,0.366539081385979,0.3798761273497774,0.3484282789353248,0.3823211875843455,0.43057008368200844,0.4297414896339903,0.43077118859760755,0.721,0.566204552584793,0.0291067782359771,0.3632291674894277,0.030044949136503428,0.5501190476190476,0.02972377902321857,0.5812341504649197,0.029126213592233007,0.6672655673147919,0.00020734488772884168,0.5943234323432341,0.00013334666800013335,0.4678787878787879,0.004286036544101058,0.6336104513064134,0.008543612159745678,0.009285051067780874,0.006556725610967613,0.35026315789473683,0.0047371982855853815,0.801834862385321,0.008543612159745678,0.015671641791044775,0.008543612159745678,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19173349948278873,0.0356745644309029,0.5201100850595989,0.06550716238646308,0.018284114672714718,1,NON_HABITABLE
