planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
KOI-K02340.01,kepler,NON_HABITABLE,1.47,830.0,112.06,7.68478504,0.0732,0.0,5344.0,0.907,0.884,0.6044704603084521,G,-1.1801806729857878,0.11459000512861663,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02342.01,kepler,NON_HABITABLE,1.51,931.0,177.24,15.0447098,0.1152,0.0,5798.0,1.525,0.899,2.3678121337623033,G,-1.2067610759212486,0.08898382027869801,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02343.01,kepler,NON_HABITABLE,2.32,614.0,33.69,29.0726293,0.1806,0.0,5799.0,1.042,0.928,1.106222743721985,G,-1.0732845025051572,0.19567025452397083,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02344.01,kepler,NON_HABITABLE,0.98,1174.0,447.97,1.118547814,0.0188,0.0,4496.0,0.658,0.725,0.15938656378892943,K,-1.2450413356478949,0.05627613646551777,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02105.01,kepler,NON_HABITABLE,1.25,1000.0,236.21,6.42199919,0.0684,0.0,5985.0,0.981,1.03,1.1124726534189653,G,-1.220563905327027,0.07840185303327141,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02106.01,kepler,NON_HABITABLE,1.87,813.0,103.3,9.75374033,0.0892,0.0,5806.0,0.899,0.996,0.827412770766893,G,-1.1747890075024434,0.11473718868370185,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02107.01,kepler,NON_HABITABLE,2.55,393.0,5.64,81.3153052,0.3483,0.0,5325.0,0.975,0.852,0.6886243733213279,G,-0.7314630219406909,0.43531636402725266,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02108.01,kepler,NON_HABITABLE,3.06,546.0,21.06,51.3283527,0.2731,0.0,6119.0,1.119,1.027,1.5815273114299584,F,-1.01064132744842,0.23192614034463885,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02109.01,kepler,NON_HABITABLE,2.58,736.0,69.48,19.7919389,0.1473,0.0,6285.0,1.039,1.084,1.5175637132790876,F,-1.1451439778494406,0.1327431690168288,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02175.01,kepler,NON_HABITABLE,3.2,800.0,96.89,26.8475962,0.1833,0.0,5508.0,1.988,1.136,3.2772018909527385,G,-1.1703910082693305,0.10651577459022718,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02177.01,kepler,NON_HABITABLE,2.5,384.0,5.13,62.8917493,0.2881,0.0,5052.0,0.855,0.805,0.42902273514417527,K,-0.7037245216594931,0.4544724412481223,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02179.01,kepler,NON_HABITABLE,1.59,391.0,5.51,14.87149773,0.0977,0.0,3825.0,0.524,0.561,0.05295208219802658,K,-0.7247769809097031,0.48036923129760944,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02179.02,kepler,NON_HABITABLE,1.42,687.0,52.68,2.732767897,0.0316,0.0,3825.0,0.524,0.561,0.05295208219802658,K,-1.120677681988006,0.17097198029967922,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00234.01,kepler,NON_HABITABLE,3.27,931.0,177.26,9.61375316,0.0897,0.0,5997.0,1.11,1.037,1.4357435147106625,G,-1.2067669790009958,0.07647968901179628,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02261.02,kepler,NON_HABITABLE,0.9,828.0,111.18,6.6254781,0.0641,0.0,5211.0,0.832,0.799,0.45986002179195556,G,-1.1796652372472443,0.12045235210801805,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02263.01,kepler,NON_HABITABLE,1.91,644.0,40.76,29.9685917,0.1969,0.0,6249.0,1.076,1.13,1.5906013680431499,F,-1.0947685901102184,0.1848056728326643,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02264.01,kepler,NON_HABITABLE,1.51,486.0,13.17,33.2407985,0.1975,0.0,5382.0,0.827,0.928,0.5169880481989341,G,-0.9313672831888635,0.3305327745609313,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02345.01,kepler,NON_HABITABLE,1.94,789.0,91.56,15.18727049,0.1183,0.0,6136.0,1.005,0.956,1.2899362204444784,F,-1.1663855184366305,0.12141181727852497,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02346.01,kepler,NON_HABITABLE,2.69,547.0,21.09,28.6853212,0.179,0.0,5726.0,0.838,0.93,0.6801240343817463,G,-1.010795924663217,0.2375009429312029,False,False,1,pl_orbeccen,,,CONFIRMED
