pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,insol_similarity,temp_similarity,in_hz_conservative,is_rocky,is_earth_sized,pl_orbper_log,pl_insol_log,tmag_bright,target,target_name
0.0,0.0028748764052507437,0.08362642927831027,0.9163735707216897,0.0,0.0,0.00393286010203674,,,,,0.24546954802866258,,,,,0.4965655086988345,0.028985507246376812,0.9710144927536232,0.0,0.0,0.03663340345406161,0.0008562135310927416,0.9991437864689071,0.0,0.0,0.0710631885042345,0.02855695008290926,0.9714430499170909,0.0,0.0,0.674877360019793,0.044158395405115666,0.9558416045948845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22934568352995552,0.5527279663303619,0.0,1,NON_HABITABLE
0.0,0.0017441488089635691,0.0003763398395212585,0.9996236601604787,0.0,0.0,0.0022592385566537433,,,,,0.21284772958140064,,,,,0.7893042809151134,0.028985507246376812,0.9710144927536232,0.0,0.0,0.09536211672409041,0.0029262017691091776,0.9970737982308906,0.0,0.0,0.05503788763186382,0.016810566641889187,0.9831894333581109,0.0,0.0,0.719022634008173,0.0402639807309761,0.9597360192690241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17669994588644064,0.5080155874132205,0.0,1,NON_HABITABLE
0.0,0.0020005984615353353,0.001045388443114607,0.9989546115568854,0.0,0.0,0.006788507325619184,,,,,0.3089122097848092,,,,,0.6656438263611282,0.0966183574879227,0.9033816425120773,0.0,0.0,0.050447888725985296,0.0033823734571129653,0.9966176265428869,0.0,0.0,0.12158003098932356,0.03853850992052147,0.9614614900794786,0.0,0.0,0.749063670411985,0.03463798526359957,0.9653620147364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19054332285679212,0.5967833490019046,0.0,1,NON_HABITABLE
0.0,0.004358780069520109,0.002648317389223671,0.9973516826107763,0.0,0.0,0.0002950961974345666,,,,,0.13739357392973872,,,,,0.4836157873993581,0.03381642512077295,0.966183574879227,0.0,0.0,0.05241943417982706,0.009603130066146966,0.9903968699338529,0.0,0.0,0.08002037654150661,0.018554519983989937,0.9814454800160102,0.0,0.0,0.653511129311595,0.04956626384199752,0.9504337361580026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772062674883279,0.34459324456865764,0.0,1,NON_HABITABLE
0.0,0.011719023544630934,0.0022952084039938483,0.9977047915960061,0.0,0.0,0.00011863494848335093,,,,,0.10809247363783085,,,,,0.3953793892986505,0.028985507246376812,0.9710144927536232,0.0,0.0,0.01165891774312939,9.041723698048786e-05,0.9999095827630193,0.0,0.0,0.05979241398340161,0.01758248041626165,0.9824175195837385,0.0,0.0,0.7524762611655702,0.03961407812306555,0.9603859218769346,0.0,0.0,0.0,0.2261571770669526,0.0,0.0,0.0,0.40045967834922025,0.27265687845850545,1.0,1,NON_HABITABLE
0.25,0.00939555565158388,0.0052130037029981735,0.9947869962970017,0.0,0.0,0.000201245479974361,,,,,0.11328238209062425,,,,,0.4678039900155771,0.028985507246376812,0.9710144927536232,0.0,0.0,0.016626920186152104,0.00014103636345631182,0.9998589636365435,0.0,0.0,0.05353554220703416,0.0053420864543427295,0.9946579135456574,0.0,0.0,0.7443355259228924,0.057223475534143774,0.9427765244658564,0.0,0.0,0.0,0.16802032030962016,0.0,1.0,0.0,0.3720819653636514,0.3142018838303738,0.0,1,NON_HABITABLE
0.0,0.0017909251245086842,0.0003298781309383871,0.9996701218690616,0.0,0.0,0.0038357588218097495,,,,,0.2669258770494534,,,,,0.6533228234145974,0.03381642512077295,0.966183574879227,0.0,0.0,0.08201177671872292,0.004536249720873202,0.9954637502791266,0.0,0.0,0.06331585761891623,0.01748241751958374,0.9825175824804163,0.0,0.0,0.6671614923259365,0.03961407812306555,0.9603859218769346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17933192205874257,0.5507108265369384,0.0,1,NON_HABITABLE
0.0,0.002792705026549798,0.003795921591220595,0.9962040784087793,0.0,0.0,0.00616287198842851,,,,,0.30140826946614985,,,,,0.38387478182534757,0.028985507246376812,0.9710144927536232,0.0,0.0,0.05277223281921576,0.0018266275801131911,0.9981733724198866,0.0,0.0,0.07597053891707171,0.02078449310995483,0.9792155068900452,0.0,0.0,0.6142663356453635,0.23865779250170485,0.7613422074982954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261338094792513,0.5889785262214486,1.0,1,NON_HABITABLE
0.0,0.0039899883340386326,0.001245173790020954,0.998754826209979,0.0,0.0,0.0008850050608192533,,,,,0.1829532115787418,,,,,0.6791190435973948,0.03864734299516909,0.961352657004831,0.0,0.0,0.05900523210029574,0.0025901113253001535,0.9974098886746997,0.0,0.0,0.06499267718039607,0.018340099491108697,0.9816599005088914,0.0,0.0,0.7371196027744362,0.03463798526359957,0.9653620147364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26678533373747076,0.4325474503500929,0.0,1,NON_HABITABLE
0.0,0.0026216491308781557,0.004562539782837974,0.995437460217162,0.0,0.0,0.00361687884188147,,,,,0.2629952416444414,,,,,0.7921757408554322,0.03381642512077295,0.966183574879227,0.0,0.0,0.1607318322592245,0.012563877890201589,0.9874361221097983,0.0,0.0,0.04862776728291554,0.016810566641889187,0.9831894333581109,0.0,0.0,0.7251755351368874,0.0402639807309761,0.9597360192690241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21919494508722379,0.5459702292246822,0.0,1,NON_HABITABLE
