rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,habitability_class,radius_similarity,insol_similarity,temp_similarity,in_hz_conservative,is_rocky,is_earth_sized,pl_orbper_log,pl_insol_log,depth_duration_ratio,tmag_bright
6497,6685.01,6685,6764171,6764171.01,1,PC,19h00m25.61s,285.106706,,,-50d14m07.84s,-50.235512,,,-9.293,0.054,-0.054,0.0,1.0,-8.054,0.054,-0.054,0.0,1.0,2460134.88206,0.006406,-0.006406,0,1,10.7715898,0.0090391,-0.0090391,0,1,4.2203793,0.4993699,-0.4993699,0,1,947.4340655,100.32729,-100.32729,0,1,4.1568836,0.3818526,-0.3818526,0,1,156.3812767,,,,,901.9156818,,,,,10.2692,0.006,-0.006,0,1,191.447,1.134,-1.134,0,1,6055.0,133.355,-133.355,0,1,4.38226,0.0829728,-0.0829728,0,1,1.1335599,0.0530502,-0.0530502,0,1,2023-09-21 21:35:31,2023-09-22 12:03:21,NON_HABITABLE,0.68431164,0.0,0.0,0,0,0,2.465688984368257,5.058671375286413,224.4902113442241,0
6499,6687.01,6687,396246765,396246765.01,1,PC,20h08m09.23s,302.038459,,,-76d08m10.5s,-76.13625,,,8.223,0.033,-0.033,0.0,1.0,-1.424,0.039,-0.039,0.0,1.0,2460129.194083,0.001436,-0.001436,0,1,3.4414188,0.0003794,-0.0003794,0,1,3.0026348,0.1172254,-0.1172254,0,1,7380.9342568,265.4622,-265.4622,0,1,12.4943419,0.8161452,-0.8161452,0,1,1100.0792751,,,,,1468.8442425,,,,,12.3872,0.006,-0.006,0,1,584.723,8.709,-8.709,0,1,5965.0,129.887,-129.887,0,1,4.16451,0.0814945,-0.0814945,0,1,1.43051,0.0689849,-0.0689849,0,1,2023-09-21 21:35:31,2024-09-09 12:03:07,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.4909738749485997,7.004046136946224,2458.151686861257,0
6500,6688.01,6688,464658144,464658144.01,1,PC,19h13m29.09s,288.371215,,,-61d03m32.75s,-61.059097,,,33.262,0.068,-0.068,0.0,1.0,-49.827,0.061,-0.061,0.0,1.0,2460128.994512,0.000919,-0.000919,0,1,4.9594992,0.0003679,-0.0003679,0,1,1.2463603,0.10074,-0.10074,0,1,2778.737264,176.65495,-176.65495,0,1,4.6274347,0.9581246,-0.9581246,0,1,143.5315288,,,,,882.7883176,,,,,10.6834,0.006,-0.006,0,1,122.314,0.6665,-0.6665,0,1,4900.0,123.171,-123.171,0,1,4.45095,0.08798,-0.08798,0,1,0.881258,0.0576381,-0.0576381,0,1,2023-09-21 21:35:32,2023-09-22 12:03:21,NON_HABITABLE,0.6372565299999999,0.0,0.0,0,0,0,1.7849864507011677,4.973497676139533,2229.47973753678,0
6501,6689.01,6689,410119093,410119093.01,1,PC,21h49m47.52s,327.447985,,,-70d27m18.21s,-70.455057,,,25.148,0.022,-0.022,0.0,1.0,-27.528,0.024,-0.024,0.0,1.0,2460127.625425,0.001407,-0.001407,0,1,4.1287427,0.0004288,-0.0004288,0,1,2.7601938,0.1219182,-0.1219182,0,1,12670.8512175,479.27368,-479.27368,0,1,12.0296829,0.8989307,-0.8989307,0,1,352.7366563,,,,,1105.3056703,,,,,12.7602,0.006,-0.006,0,1,463.744,3.714,-3.714,0,1,5377.0,132.736,-132.736,0,1,4.34978,0.0835442,-0.0835442,0,1,1.06754,0.0600302,-0.0600302,0,1,2023-09-21 21:35:32,2024-09-21 12:02:59,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.6348605414244766,5.8685527275392895,4590.564121597504,0
6502,669.01,669,124573851,124573851.01,1,CP,10h35m36.17s,158.900701,,,-05d10m52.95s,-5.181374,,,9.845,0.064,-0.064,0.0,1.0,72.079,0.059,-0.059,0.0,1.0,2460013.733784,0.003888,-0.003888,0,1,3.9451359,1.77e-05,-1.77e-05,0,1,2.424,0.389,-0.389,0,1,841.0,51.9043,-51.9043,0,1,2.51666,0.161931,-0.161931,0,1,286.87,,,,,1146.0,,,,,10.1755,0.006,-0.006,0,1,142.867,0.8505,-0.8505,0,1,5581.9,76.0,-76.0,0,1,4.13,0.12,-0.12,0,1,0.99,0.04,-0.04,0,1,2019-05-06 19:17:04,2025-04-21 12:03:49,NON_HABITABLE,0.848334,0.0,0.0,0,0,0,1.5984044470024028,5.6625089893404255,346.9470515895002,0
6503,6690.01,6690,149989864,149989864.01,1,PC,06h01m46.93s,90.445562,,,-63d03m01.68s,-63.050467,,,1.987,0.042,-0.042,0.0,1.0,78.066,0.04,-0.04,0.0,1.0,2458327.776304,0.008472,-0.008472,0,1,761.7092276,0.0124641,-0.0124641,0,1,7.6296016,0.9243053,-0.9243053,0,1,545.0105734,72.50472,-72.50472,0,1,2.5578976,1.0798749,-1.0798749,0,1,0.378931,,,,,200.1058511,,,,,10.2969,0.006,-0.006,0,1,159.053,0.4995,-0.4995,0,1,5599.17,101.967,-101.967,0,1,4.37676,0.07279,-0.07279,0,1,1.06775,0.0476885,-0.0476885,0,1,2023-10-05 21:54:23,2024-03-14 10:08:02,HABITABILITY_ZONE,0.84421024,0.9378931,0.8902117022,1,0,0,6.636876867694094,0.3213085613011514,71.43367773833987,0
6504,6690.02,6690,149989864,149989864.02,2,PC,06h01m46.93s,90.445562,,,-63d03m01.68s,-63.050467,,,1.987,0.042,-0.042,0.0,1.0,78.066,0.04,-0.04,0.0,1.0,2458433.203898,0.015039,-0.015039,0,1,904.5347981,0.0110199,-0.0110199,0,1,22.1692458,1.2134174,-1.2134174,0,1,603.0604952,58.14164,-58.14164,0,1,2.7306626,0.424075,-0.424075,0,1,0.7593093,,,,,238.0808322,,,,,10.2969,0.006,-0.006,0,1,159.053,0.4995,-0.4995,0,1,5599.17,101.967,-101.967,0,1,4.37676,0.07279,-0.07279,0,1,1.06775,0.0476885,-0.0476885,0,1,2023-10-05 21:57:58,2024-03-14 10:08:02,HABITABILITY_ZONE,0.82693374,0.97593093,0.9661616644,1,0,0,6.80852570629241,0.5649212888422639,27.20257032818995,0
6508,6694.01,6694,27414976,27414976.01,1,PC,14h20m22.58s,215.094092,,,+41d16m43.22s,41.278673,,,-8.855,0.036,-0.036,0.0,1.0,-3.927,0.041,-0.041,0.0,1.0,2459667.751833,0.001928,-0.001928,0,1,3.9759251,0.0005895,-0.0005895,0,1,2.4026632,0.1496351,-0.1496351,0,1,31337.4687251,1575.3396,-1575.3396,0,1,13.4485221,0.8359397,-0.8359397,0,1,129.0515238,,,,,859.627962,,,,,13.7846,0.007,-0.007,0,1,401.307,4.4715,-4.4715,0,1,4693.0,122.0,-122.0,0,1,4.54081,0.08130604999999999,-0.08130604999999999,0,1,0.769415,0.06,-0.06,0,1,2023-10-05 21:54:49,2024-07-16 12:02:54,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.6046113030727882,4.867930708857927,13042.800040513359,0
6514,6699.01,6699,341405597,341405597.01,1,PC,21h08m16.7s,317.069584,,,-63d15m01.8s,-63.2505,,,118.343,0.076,-0.076,0.0,1.0,-45.719,0.09,-0.09,0.0,1.0,2460132.340656,1.6154,-1.6154,0,1,5.322002,0.0069556,-0.0069556,0,1,3.193,2.615,-2.615,0,1,955.0,1895.49,-1895.49,0,1,3.84201,1.71526,-1.71526,0,1,150.91,,,,,976.0,,,,,10.4012,0.006,-0.006,0,1,85.8463,0.40385,-0.40385,0,1,4716.0,125.4,-125.4,0,1,4.56,0.1,-0.1,0,1,0.75,0.05,-0.05,0,1,2023-10-05 21:57:26,2025-01-16 12:03:04,NON_HABITABLE,0.715799,0.0,0.0,0,0,0,1.8440359301489597,5.023288240219571,299.09166956101797,0
6516,6700.01,6700,167085203,167085203.01,1,PC,06h22m54.15s,95.725639,,,-66d16m23.31s,-66.273142,,,1.821,0.055,-0.055,0.0,1.0,3.084,0.048,-0.048,0.0,1.0,2459977.682137,0.001836,-0.001836,0,1,15.5177539,0.0003973,-0.0003973,0,1,1.2572404,0.6497104,-0.6497104,0,1,3717.3165127,303.62772,-303.62772,0,1,9.4825825,5.5894985,-5.5894985,0,1,186.3932704,,,,,942.3827039,,,,,12.2301,0.006,-0.006,0,1,643.451,11.5245,-11.5245,0,1,6314.93,123.047,-123.047,0,1,4.18108,0.0839228,-0.0839228,0,1,1.49694,0.0735176,-0.0735176,0,1,2023-10-05 21:57:57,2023-10-06 12:02:52,NON_HABITABLE,0.15174175,0.0,0.0,0,0,0,2.804435796379364,5.233209458807342,2956.7245500347035,0
